feature,importance
starts_with_number,0.3732588
font_size,0.13086809
char_count,0.06059683
word_count,0.057244085
title_case,0.0439109
capital_ratio,0.032001324
font_size_rank_on_page,0.029863873
text_length,0.026561389
is_all_caps,0.02632617
font_size_normalized,0.025583902
is_italic,0.020816319
relative_font_size,0.01920824
is_bold,0.018714182
is_centered,0.017795239
first_word_capitalized,0.017659195
contains_colon,0.01744273
x_position_normalized,0.017215885
ends_with_period,0.016280232
y_position_normalized,0.0155438585
position_rank_on_page,0.014692729
position_percentile_on_page,0.012083161
contains_chapter,0.0063328645
distance_from_left,0.0
distance_from_top,0.0
font_size_percentile,0.0
is_small_font,0.0
is_large_font,0.0
is_top_quarter,0.0
is_single_word,0.0
is_very_short,0.0
is_short,0.0
is_largest_font_on_page,0.0
